id,sentiment
3364,Irrelevant
352,Neutral
8312,Irrelevant
4371,Negative
4433,Neutral
6273,Negative
7925,Positive
11332,Positive
1107,Positive
2069,Negative
3185,Negative
1172,Irrelevant
11783,Negative
4286,Neutral
8431,Negative
9135,Positive
4822,Positive
3068,Negative
10537,Positive
8056,Negative
2131,Negative
5450,Neutral
2286,Irrelevant
4038,Negative
526,Neutral
8977,Neutral
11995,Negative
9449,Negative
10193,Irrelevant
2419,Negative
8857,Positive
9704,Neutral
7024,Negative
8842,Positive
6650,Negative
2337,Positive
10589,Neutral
12997,Irrelevant
807,Positive
11229,Neutral
2366,Positive
9268,Neutral
2216,Negative
316,Neutral
1985,Positive
11378,Irrelevant
5207,Negative
7048,Negative
2274,Positive
13197,Irrelevant
9488,Positive
10275,Negative
6022,Negative
6379,Positive
3293,Positive
5818,Positive
1725,Positive
8697,Neutral
2277,Negative
11277,Negative
11736,Positive
1148,Positive
11403,Positive
3671,Irrelevant
8558,Negative
7023,Neutral
10227,Negative
2243,Irrelevant
1908,Positive
7740,Negative
11020,Irrelevant
7082,Negative
9608,Negative
8367,Positive
861,Positive
171,Irrelevant
9857,Irrelevant
9361,Positive
2142,Neutral
4438,Neutral
8121,Neutral
4177,Positive
986,Positive
12487,Neutral
7342,Irrelevant
4132,Neutral
5130,Negative
10334,Irrelevant
5515,Positive
11175,Neutral
5448,Neutral
3286,Neutral
3929,Positive
638,Negative
2057,Irrelevant
9456,Negative
11687,Negative
1589,Negative
3526,Positive
8174,Positive
11693,Neutral
11086,Negative
3948,Positive
8822,Positive
783,Neutral
465,Positive
1714,Negative
9850,Positive
10078,Negative
10585,Negative
10011,Neutral
5265,Positive
3206,Negative
3488,Neutral
11685,Negative
5122,Negative
9149,Neutral
96,Positive
11577,Positive
3083,Neutral
2981,Negative
4574,Positive
3993,Positive
1967,Negative
2713,Neutral
8438,Neutral
10729,Negative
8984,Neutral
1990,Negative
7205,Neutral
7564,Irrelevant
1701,Positive
10185,Negative
9619,Positive
7458,Positive
6056,Irrelevant
7433,Neutral
4236,Neutral
13044,Irrelevant
1989,Irrelevant
6408,Irrelevant
2808,Neutral
5473,Neutral
10021,Irrelevant
2218,Irrelevant
3729,Neutral
10906,Positive
8042,Irrelevant
2532,Positive
10262,Irrelevant
10268,Positive
3148,Negative
6218,Negative
122,Neutral
11248,Neutral
6560,Irrelevant
12716,Neutral
775,Negative
531,Neutral
11977,Neutral
8544,Negative
12548,Neutral
7213,Negative
1495,Irrelevant
9350,Irrelevant
6725,Irrelevant
7100,Neutral
11331,Negative
8129,Negative
8486,Negative
2527,Positive
11240,Positive
5075,Positive
3487,Neutral
7456,Neutral
9473,Positive
4697,Neutral
4343,Neutral
5154,Neutral
10670,Neutral
3617,Positive
11536,Neutral
6610,Negative
6339,Negative
7099,Neutral
10568,Positive
9766,Positive
5323,Irrelevant
1203,Irrelevant
5731,Neutral
10422,Positive
2430,Positive
790,Neutral
3801,Irrelevant
4974,Neutral
11328,Negative
11753,Negative
7733,Negative
8800,Negative
866,Positive
6889,Neutral
10534,Positive
7835,Negative
4453,Positive
2847,Positive
10156,Positive
1103,Negative
10027,Neutral
7357,Positive
7182,Positive
12509,Neutral
9506,Irrelevant
11551,Positive
115,Negative
1551,Positive
6675,Positive
6964,Negative
9353,Positive
3263,Negative
10544,Negative
4291,Positive
5121,Negative
8371,Positive
7349,Positive
2785,Negative
7251,Irrelevant
5505,Irrelevant
6896,Neutral
12681,Positive
3431,Positive
10496,Positive
6376,Irrelevant
3037,Neutral
319,Positive
3329,Irrelevant
4710,Negative
11006,Neutral
7012,Neutral
2335,Positive
7950,Negative
1823,Negative
3675,Irrelevant
833,Positive
1106,Positive
4734,Irrelevant
6038,Irrelevant
616,Neutral
1051,Positive
6953,Neutral
3095,Negative
11941,Positive
9880,Positive
6907,Positive
2547,Positive
645,Neutral
12480,Irrelevant
13039,Neutral
4895,Negative
4798,Neutral
3683,Positive
4272,Neutral
714,Negative
795,Neutral
410,Neutral
5688,Negative
10601,Positive
11567,Positive
10315,Irrelevant
7019,Negative
3426,Negative
1698,Irrelevant
12987,Positive
6961,Neutral
5861,Positive
3331,Negative
6851,Neutral
9336,Positive
8179,Positive
1131,Positive
6431,Negative
6267,Negative
1223,Negative
8131,Positive
12792,Negative
7004,Neutral
2857,Positive
659,Neutral
1431,Neutral
6338,Negative
4880,Positive
2897,Negative
11388,Positive
8876,Neutral
7879,Irrelevant
703,Negative
11620,Negative
4701,Positive
2935,Negative
3312,Neutral
8719,Negative
10091,Irrelevant
6353,Positive
2573,Negative
9661,Positive
2751,Irrelevant
13195,Positive
3634,Positive
4094,Positive
3469,Positive
10563,Positive
9481,Negative
9415,Negative
7384,Positive
10249,Negative
2191,Irrelevant
7587,Neutral
11533,Irrelevant
1804,Positive
9348,Irrelevant
8566,Neutral
6291,Irrelevant
6569,Positive
1221,Negative
5454,Positive
127,Neutral
6586,Irrelevant
8373,Neutral
3039,Neutral
7600,Positive
10933,Positive
3058,Positive
7285,Negative
8788,Negative
12627,Irrelevant
3602,Irrelevant
9105,Positive
6404,Irrelevant
5464,Positive
10695,Neutral
8955,Neutral
1565,Irrelevant
3361,Irrelevant
8408,Negative
11622,Negative
1023,Negative
11311,Irrelevant
4274,Positive
10412,Positive
710,Neutral
7506,Negative
5074,Positive
4385,Irrelevant
8343,Neutral
8716,Negative
3277,Negative
11808,Negative
10223,Positive
3084,Neutral
921,Neutral
4367,Irrelevant
7446,Negative
5417,Neutral
4650,Irrelevant
3296,Irrelevant
8917,Neutral
4922,Irrelevant
9840,Positive
10444,Neutral
13074,Neutral
10722,Positive
8244,Positive
6019,Negative
2738,Negative
9807,Negative
3525,Positive
10082,Neutral
9675,Negative
524,Positive
5217,Negative
3670,Positive
10188,Positive
10280,Irrelevant
6687,Positive
9063,Negative
3456,Neutral
6694,Negative
9864,Negative
12743,Irrelevant
3727,Irrelevant
9082,Positive
5149,Negative
1882,Positive
10095,Negative
9495,Negative
7829,Negative
1448,Irrelevant
11106,Positive
10598,Neutral
1529,Positive
2190,Positive
6137,Negative
5338,Neutral
533,Irrelevant
10844,Negative
5536,Positive
6992,Positive
8349,Neutral
5212,Negative
3463,Neutral
6496,Negative
12725,Irrelevant
7463,Neutral
11107,Negative
13,Neutral
